,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or,eof
FPARAMS,,,,FPARAMS → &epsilon,,FPARAMS → _fParam _id id colon TYPE _dimList REPTFPARAMS3 _endDimList _endFparam REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma _fParam _id id colon TYPE _dimList REPTFPARAMSTAIL4 _endDimList _endFparam,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL → _funcDecl FUNCHEAD _endFuncDecl semi,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → _funcDef FUNCHEAD _statBlock FUNCBODY _endStatBlock _endFuncDef,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → func _id id lpar _fparamList FPARAMS _endFparamList rpar arrow RETURNTYPE,,,,,,
IDNEST,,,,,,,IDNEST → dot _id id IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → lpar APARAMS rpar,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,IDNEST2 → REPTIDNEST1,,,,,,,,IDNEST2 → REPTIDNEST1,
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF → impl _id id lcurbr REPTIMPLDEF3 rcurbr,,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,,,
MEMBERDECL,,,,,,,,,,MEMBERDECL → VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → FUNCDECL,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → _multOp and,MULTOP → _multOp div,MULTOP → _multOp mult,,,,,,,,,,,
OPTSTRUCTDECL2,,,,,,,,,,,,,,OPTSTRUCTDECL2 → &epsilon,,,,,,,,,,,,,,,,,,,OPTSTRUCTDECL2 → inherits id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,PROG → REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,PROG → REPTPROG0,,PROG → REPTPROG0,,,,,,PROG → REPTPROG0
RELEXPR,,,,,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,,,,,,,,,,,,,,,,,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,,,,,,,,,,,,,,,,,,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,RELEXPR → _relExpr ARITHEXPR RELOP ARITHEXPR _endRelExpr,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → _relOp geq,RELOP → _relOp leq,RELOP → _relOp gt,RELOP → _relOp lt,RELOP → _relOp neq,RELOP → _relOp eq,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,REPTFPARAMS3 → _dimList ARRAYSIZE REPTFPARAMS3 _endDimList,,,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,REPTFPARAMSTAIL4 → _dimList ARRAYSIZE REPTFPARAMSTAIL4 _endDimList,,,,,,,,,
REPTFUNCBODY1,,,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → &epsilon,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,
REPTIMPLDEF3,,,,,,,,,,,,,REPTIMPLDEF3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIMPLDEF3 → FUNCDEF REPTIMPLDEF3,,,,,,
REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → &epsilon,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → comma _id id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,REPTPROG0 → &epsilon
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → &epsilon,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTRUCTDECL4,,REPTSTRUCTDECL4 → _membDecl VISIBILITY MEMBERDECL _endMembDecl REPTSTRUCTDECL4,REPTSTRUCTDECL4 → _membDecl _scopeSpec VISIBILITY _endScope MEMBERDECL _endMembDecl REPTSTRUCTDECL4,,,,,,,,,,REPTSTRUCTDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARDECL4,,,,,,,,REPTVARDECL4 →  &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARDECL4 → _dimList ARRAYSIZE REPTVARDECL4 _endDimList,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARORFUNCCALL,,,,REPTVARORFUNCCALL → &epsilon,,,REPTVARORFUNCCALL → IDNEST REPTVARORFUNCCALL,REPTVARORFUNCCALL → &epsilon,,,,,,,,,,,,,,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,,,,,,,,REPTVARORFUNCCALL → &epsilon,
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,RETURNTYPE → _type void,,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM _closeAddOp RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM _closeAddOp RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM _closeAddOp RIGHTRECARITHEXPR,
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR _closeMultOp RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR _closeMultOp RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR _closeMultOp RIGHTRECTERM,RIGHTRECTERM → &epsilon,,,,,,,,,RIGHTRECTERM → &epsilon,
SIGN,,,,,,,,,,,,,,,,,,,,,,,SIGN → _sign minus,SIGN → _sign plus,,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,STATBLOCK → _statBlock STATEMENT _endStatBlock,,STATBLOCK → &epsilon,,,,,,STATBLOCK → lcurbr _statBlock REPTSTATBLOCK1 _endStatBlock rcurbr,,STATBLOCK → _statBlock STATEMENT _endStatBlock,STATBLOCK → _statBlock STATEMENT _endStatBlock,STATBLOCK → _statBlock STATEMENT _endStatBlock,STATBLOCK → _statBlock STATEMENT _endStatBlock,STATBLOCK → &epsilon,,STATBLOCK → _statBlock STATEMENT _endStatBlock,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → _id id STATEMENTIDNEST semi,,,,,,,,,,STATEMENT → _return return lpar EXPR rpar _endReturn semi,STATEMENT → _put write lpar EXPR rpar _endPut semi,STATEMENT → _get read lpar VARIABLE rpar _endGet semi,STATEMENT → _while while lpar RELEXPR rpar STATBLOCK _endWhile semi,,,STATEMENT → _if if lpar RELEXPR rpar then STATBLOCK else STATBLOCK _endIf semi,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → lpar APARAMS rpar STATEMENTIDNEST2,,STATEMENTIDNEST → dot _id id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → INDICE REPTIDNEST1 STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR _closeAssignOp,,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot _id id STATEMENTIDNEST,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot _id id STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR _closeAssignOp,,
STRUCTDECL,,,,,,,,,,,,,,,STRUCTDECL → _classDecl struct _id id OPTSTRUCTDECL2 lcurbr REPTSTRUCTDECL4 _endClassDecl rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTORIMPLORFUNC,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → STRUCTDECL,,,,,,,,,,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → IMPLDEF,,STRUCTORIMPLORFUNC → FUNCDEF,,,,,,
TERM,,,,,TERM → _term FACTOR RIGHTRECTERM _endTerm,TERM → _term FACTOR RIGHTRECTERM _endTerm,,,,,,,,,,,,,,,,,TERM → _term FACTOR RIGHTRECTERM _endTerm,TERM → _term FACTOR RIGHTRECTERM _endTerm,,,,,,,,,,,,,,,,,,TERM → _term FACTOR RIGHTRECTERM _endTerm,TERM → _term FACTOR RIGHTRECTERM _endTerm,TERM → _term FACTOR RIGHTRECTERM _endTerm,,,
TYPE,,,,,,TYPE → _type id,,,,,TYPE → _type float,TYPE → _type integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,,,,,VARDECL → _varDecl let _id id colon TYPE REPTVARDECL4 _endVarDecl semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECLORSTAT,,,,,,VARDECLORSTAT → STATEMENT,,,,VARDECLORSTAT → VARDECL,,,,,,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,,,VARDECLORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → _id id VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot _id id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
